timestamp,n_particles,iters,n_ranks,n_threads,tree_us,force_us,integrate_us,comm_us,total_us,speedup
2026-05-22T12:06:54,5000,10,1,1,3073,14579,196,491,18339,8.1032
2026-05-22T12:07:04,5000,10,1,2,3062,14243,130,471,17906,8.2992
2026-05-22T12:07:13,5000,10,1,4,3287,18057,179,490,22013,6.7508
2026-05-22T12:07:23,5000,10,1,8,3214,14608,246,546,18614,7.9835
2026-05-22T12:07:33,5000,10,2,1,3781,7957,97,700,12535,11.8552
2026-05-22T12:07:42,5000,10,2,2,3078,7210,125,865,11278,13.1765
2026-05-22T12:07:52,5000,10,2,4,3068,7404,161,3950,14583,10.1903
2026-05-22T12:08:02,5000,10,2,8,3069,7770,241,733,11813,12.5798
2026-05-22T12:08:11,5000,10,4,1,3038,3352,95,1777,8262,17.9866
2026-05-22T12:08:21,5000,10,4,2,3046,2114,66,1772,6998,21.2354
2026-05-22T12:08:31,5000,10,4,4,3075,1260,48,2335,6718,22.1204
2026-05-22T12:08:40,5000,10,4,8,3104,958,45,1507,5614,26.4704
2026-05-22T12:08:50,10000,10,1,1,6341,42133,213,1188,49875,9.4628
2026-05-22T12:09:00,10000,10,1,2,6404,41817,239,1141,49601,9.5151
2026-05-22T12:09:10,10000,10,1,4,6415,44030,285,1153,51883,9.0966
2026-05-22T12:09:19,10000,10,1,8,6469,43863,360,1153,51845,9.1033
2026-05-22T12:09:29,10000,10,2,1,6185,19011,197,3329,28722,16.4320
2026-05-22T12:09:39,10000,10,2,2,6234,16966,228,2773,26201,18.0130
2026-05-22T12:09:48,10000,10,2,4,6183,18115,273,3220,27791,16.9824
2026-05-22T12:09:58,10000,10,2,8,6193,17591,367,5399,29550,15.9715
2026-05-22T12:10:08,10000,10,4,1,6134,8055,186,4370,18745,25.1779
2026-05-22T12:10:18,10000,10,4,2,6165,4329,116,3722,14332,32.9304
2026-05-22T12:10:27,10000,10,4,4,6224,2399,88,2867,11578,40.7634
2026-05-22T12:10:37,10000,10,4,8,6210,1633,59,3908,11810,39.9627
2026-05-22T12:10:48,50000,10,1,1,37190,370777,1023,5507,414497,10.7737
2026-05-22T12:10:59,50000,10,1,2,35754,361636,1058,5498,403946,11.0552
2026-05-22T12:11:10,50000,10,1,4,35800,365483,1138,5493,407914,10.9476
2026-05-22T12:11:20,50000,10,1,8,36205,370016,1224,5836,413281,10.8054
2026-05-22T12:11:31,50000,10,2,1,35616,167091,1019,12967,216693,20.6084
2026-05-22T12:11:41,50000,10,2,2,34332,168243,1057,14576,218208,20.4653
2026-05-22T12:11:51,50000,10,2,4,34388,166579,1124,18787,220878,20.2179
2026-05-22T12:12:02,50000,10,2,8,35447,166671,1207,13150,216475,20.6291
2026-05-22T12:12:12,50000,10,4,1,32694,73636,974,27635,134939,33.0941
2026-05-22T12:12:22,50000,10,4,2,32929,38607,528,24840,96904,46.0836
2026-05-22T12:12:32,50000,10,4,4,32368,19126,295,21293,73082,61.1051
2026-05-22T12:12:42,50000,10,4,8,32532,10869,186,19571,63158,70.7066
2026-05-22T12:12:55,100000,10,1,1,74534,860649,2150,11557,948890,11.4575
2026-05-22T12:13:07,100000,10,1,2,74915,863286,2250,11561,952012,11.4199
2026-05-22T12:13:20,100000,10,1,4,75011,870906,2264,11477,959658,11.3289
2026-05-22T12:13:32,100000,10,1,8,74538,881437,2364,12401,970740,11.1996
2026-05-22T12:13:44,100000,10,2,1,71206,394075,2286,46219,513786,21.1603
2026-05-22T12:13:55,100000,10,2,2,72989,392837,2149,43894,511869,21.2396
2026-05-22T12:14:06,100000,10,2,4,72857,390873,2147,51575,517452,21.0104
2026-05-22T12:14:18,100000,10,2,8,72561,392967,2342,46890,514760,21.1203
2026-05-22T12:14:28,100000,10,4,1,67719,168679,2016,58620,297034,36.6014
2026-05-22T12:14:39,100000,10,4,2,68018,91333,1024,39552,199927,54.3792
2026-05-22T12:14:49,100000,10,4,4,68568,47059,566,33185,149378,72.7809
2026-05-22T12:14:59,100000,10,4,8,68503,24023,345,29029,121900,89.1868
