timestamp,version,n_particles,iters,n_threads,tree_us,force_us,integrate_us,total_us,speedup
2026-05-22T11:36:45,v1,5000,10,1,4980,134015,202,139197,1.0772
2026-05-22T11:36:45,v1,5000,10,2,5846,143093,244,149183,1.0051
2026-05-22T11:36:46,v1,5000,10,4,5578,134799,303,140680,1.0658
2026-05-22T11:36:46,v1,5000,10,8,6521,161898,390,168809,0.8882
2026-05-22T11:36:46,v3,50000,10,8,141035,4372215,2370,4515620,0.9889
2026-05-22T11:36:48,v1,10000,10,1,15451,446963,401,462815,1.0257
2026-05-22T11:36:49,v1,10000,10,2,16928,445515,456,462899,1.0255
2026-05-22T11:36:51,v1,10000,10,4,17375,445922,499,463796,1.0235
2026-05-22T11:36:52,v1,10000,10,8,16956,449151,606,466713,1.0171
2026-05-22T11:37:05,v1,50000,10,1,129071,4272323,1968,4403362,1.0066
2026-05-22T11:37:19,v1,50000,10,2,139658,4270405,2145,4412208,1.0046
2026-05-22T11:37:20,v3,100000,10,1,298475,10630215,3952,10932642,0.9944
2026-05-22T11:37:32,v1,50000,10,4,139427,4285072,2223,4426722,1.0013
2026-05-22T11:37:46,v1,50000,10,8,140498,4305821,2351,4448670,0.9964
2026-05-22T11:37:53,v3,100000,10,2,315958,10568700,4143,10888801,0.9984
2026-05-22T11:38:18,v1,100000,10,1,293448,10394880,4009,10692337,1.0065
2026-05-22T11:38:26,v3,100000,10,4,315890,10587633,4200,10907723,0.9967
2026-05-22T11:38:51,v1,100000,10,2,314296,10483535,4124,10801955,0.9963
2026-05-22T11:38:59,v3,100000,10,8,316181,10594339,4345,10914865,0.9961
2026-05-22T11:38:59,v3s,5000,10,1,4654,132375,199,137228,1.0829
2026-05-22T11:39:00,v3s,5000,10,2,6696,132254,230,139180,1.0677
2026-05-22T11:39:00,v3s,5000,10,4,5874,132605,282,138761,1.0709
2026-05-22T11:39:01,v3s,5000,10,8,5675,143795,364,149834,0.9918
2026-05-22T11:39:02,v3s,10000,10,1,13890,402269,415,416574,1.1330
2026-05-22T11:39:04,v3s,10000,10,2,15370,399048,450,414868,1.1376
2026-05-22T11:39:05,v3s,10000,10,4,15508,408539,492,424539,1.1117
2026-05-22T11:39:06,v3s,10000,10,8,15371,397740,585,413696,1.1408
2026-05-22T11:39:18,v3s,50000,10,1,118498,3793828,2067,3914393,1.1408
2026-05-22T11:39:24,v1,100000,10,4,314855,10448168,4209,10767232,0.9995
2026-05-22T11:39:31,v3s,50000,10,2,126352,3873263,2117,4001732,1.1159
2026-05-22T11:39:43,v3s,50000,10,4,124751,3879144,2218,4006113,1.1147
2026-05-22T11:39:55,v3s,50000,10,8,126668,3868946,2323,3997937,1.1170
2026-05-22T11:39:56,v1,100000,10,8,314093,10460586,4411,10779090,0.9984
2026-05-22T11:40:24,v3s,100000,10,1,266652,9329289,4013,9599954,1.1325
2026-05-22T11:40:54,v3s,100000,10,2,285205,9594331,4162,9883698,1.1000
2026-05-22T11:41:24,v3s,100000,10,4,288271,9610596,4221,9903088,1.0978
2026-05-22T11:41:54,v3s,100000,10,8,289656,9628683,4412,9922751,1.0957
2026-05-22T11:43:37,v1,500000,10,1,1941056,73314951,22534,75278541,1.0032
