timestamp,version,n_particles,iters,n_threads,tree_us,force_us,integrate_us,total_us,speedup_vs_seq
2026-05-19T14:16:16,v1,5000,10,1,4973,139869,197,145039,1.0258
2026-05-19T14:16:16,v1,5000,10,2,5615,134057,232,139904,1.0634
2026-05-19T14:16:17,v1,5000,10,4,5582,133720,281,139583,1.0659
2026-05-19T14:16:17,v1,5000,10,8,5556,134869,372,140797,1.0567
2026-05-19T14:16:19,v1,10000,10,1,14923,439244,395,454562,1.0263
2026-05-19T14:16:20,v1,10000,10,2,16814,445558,445,462817,1.0080
2026-05-19T14:16:22,v1,10000,10,4,16786,444858,480,462124,1.0095
2026-05-19T14:16:23,v1,10000,10,8,16994,453121,570,470685,0.9911
2026-05-19T14:16:36,v1,50000,10,1,127014,4226452,1966,4355432,1.0083
2026-05-19T14:16:50,v1,50000,10,2,140065,4240679,2043,4382787,1.0021
2026-05-19T14:17:03,v1,50000,10,4,139289,4275403,2158,4416850,0.9943
