timestamp,n_particles,iters,n_threads_cpu,tree_us,serial_us,gpu_us,integrate_us,total_us,seq_us,speedup
2026-05-22T10:35:52,1000,2,1,209,661,753,29,1652,4117,2.4921
2026-05-22T10:35:53,1000,2,2,239,957,1822,73,3091,4117,1.3319
2026-05-22T10:35:54,2000,2,1,433,2519,794,39,3785,9207,2.4325
2026-05-22T10:35:55,2000,2,2,432,2540,793,85,3850,9207,2.3914
2026-05-22T10:35:56,5000,2,1,1169,15477,942,63,17651,31104,1.7622
2026-05-22T10:35:57,5000,2,2,1207,15581,922,110,17820,31104,1.7455
2026-05-22T10:35:58,10000,2,1,3016,61828,1054,100,65998,91744,1.3901
2026-05-22T10:35:59,10000,2,2,2974,63428,1051,156,67609,91744,1.3570
2026-05-22T10:36:05,50000,2,1,24184,1598879,2388,417,1625868,831846,0.5116
2026-05-22T10:36:11,50000,2,2,25219,1634954,2376,479,1663028,831846,0.5002
